# Format: <program.exe>,<product/company> - <description>
PresentationFontCache.exe,Microsoft .NET Framework - PresentationFontCache.exe
PTIM.exe,Cisco WebEx
ptOIEx64.exe,Cisco WebEx - Meetings Desktop Application
ptoneclk.exe,Cisco WebEx - Meetings Desktop App
ptSrv.exe,Cisco WebEx - ptService Module
QcomWlanSrvx64.exe,Qualcomm Atheros WLAN Driver Service - Qualcomm Atheros Universal WLAN Driver Service
RAVBg64.exe,Realtek - HD Audio Background Process
RAVCpl64.exe,Realtek - Realtek HD Audio Manager
rdpclip.exe,RDP Clipboard Monitor
RdrCEF.exe,Adobe - Adobe Reader Cloud Extention Feature
redirector.exe,Citrix - FTA, URL Redirector
Registry,Microsoft Windows - Registry
RstMwService.exe,Intel - Rapid Storage Technology Management Service
RtkAudioService64.exe,Realtek Audio Service - Realtek Audio Service
RtkAudUService64.exe,Realtek HD Audio Universal Service
rundll32.exe,Microsoft Windows - Windows host process (Rundll32)
RuntimeBroker.exe,Microsoft Windows - Runtime Broker
SCNotification.exe,SCCM
SearchFilterHost.exe,Microsoft Windows - Microsoft Windows Search Filter Host
SearchIndexer.exe,Microsoft Windows - Microsoft Windows Search Indexer
SearchProtocolHost.exe,Microsoft Windows - Microsoft Windows Search Protocol Host
SearchUI.exe,Microsoft Windows - Search and Cortana application
SecomSDK.exe,Sennheiser - Softphone SDK
SecurityHealthService.exe,Microsoft Windows - Windows Security Health Service
SecurityHealthSystray.exe,Microsoft Windows - Security Health Systray Application
ServerManager.exe,Microsoft Windows - Server Manager
services.exe,Microsoft Windows - Services and Controller app
SettingSyncHost.exe,Microsoft Windows - Host Process for Setting Synchronization
sgrmBroker.exe,Microsoft Windows - System Guard Runtime Monitor Broker Service
ShellExperienceHost.exe,Microsoft Windows - Windows Shell Experience Host
SHTCTKY.EXE,Lenovo - ThinkPad Message Receiver for Shortcut Hot Keys
sidebar.exe,Microsoft Windows - Windows Desktop Gadgets
sihost.exe,Microsoft Windows - Shell Infrastructure Host
SkypeApp.exe,Skype
SkypeBackgroundHost.exe,Skype
SkypeHost.exe,Skype
slack.exe,Slack - Slack
smss.exe,Microsoft Windows - Windows Session Manager
Snagit32.exe,Snagit - Snagit
snagiteditor.exe,Snagit - Snagit Editor
SnagPriv.exe,SnagPriv - Snagit RPC Helper
SocketHeciServer.exe,Intel - Intel(R) Capability Licensing Service TCP IP Interface
spoolsv.exe,Microsoft Windows - Spooler SubSystem App
Spotify.exe,Spotify Music Player
spotifywebhelper.exe,Spotify Music Player
ssoauth.exe,Oracle - Enterprise Single Sign-On
ssobho.exe,Oracle - Enterprise Single Sign-On
ssocredcap.exe,Oracle - Enterprise Single Sign-On
ssocredcap64.exe,Oracle - Enterprise Single Sign-On
SSOSensSvc.exe,Oracle - Enterprise Single Sign-On
ssoshell.exe,Oracle - Enterprise Single Sign-On
ssouiaho.exe,Oracle - Enterprise Single Sign-On
ssowebho.exe,Oracle - Enterprise Single Sign-On
ssox64ho.exe,Oracle - Enterprise Single Sign-On
SurSvc.exe,Intel - System Usage Report Service
SUService.exe,Lenovo System Update
svchost.exe,Microsoft Windows - Host Process for Windows Services
System,Microsoft Windows - NT Kernel
SystemSettings.exe,Microsoft Windows - Settings
SystemSettingsBroker.exe,Microsoft Windows - System Settings Broker
taskeng.exe,Microsoft Windows - Task Scheduler Engine
taskhost.exe,Microsoft Windows - Host Process for Windows Tasks
taskhostex.exe,Microsoft Windows - Host Process for Windows Tasks
taskhostw.exe,Microsoft Windows - Host Process for Windows Tasks
tbtsvc.exe,Intel - Connects and manages Thunderbolt devices
Teams.exe,Microsoft Teams - Microsoft Teams Messenging
Thunderbolt.exe,Intel - Thunderbolt
TPHKLOAD.exe,Lenovo - ThinkPad Message Client Loader
tpnumlkd.exe,Lenovo - NumLock on screen display for ThinkPad
TPONSCR.EXE,Lenovo - On Screen Display Drawer
TPOSD.EXE,Lenovo - On screen display drawer
TPSCREX.EXE,Lenovo - ThinkPad UltraZoom
ucmapi.exe,Skype For Business - Unified Communications Messaging Application Programming Interface
unsecapp.exe,Microsoft Windows - Asynch Callback Sync for WMI Client Apps
upnpcont.exe,UPnP Device Host Container
vds.exe,Microsoft Windows - Virtual Disk Service
virtscrl.exe,Lenovo - Auto Scroll Utility
VISIO.exe,Microsoft Visio
vmcompute.exe,Microsoft - Hyper-V Host Compute Service
vmmem,Microsoft Windows - Virtual Machine Memory
vmms.exe,Microsoft - Virtual Machine Management Service
vmnat.exe,VMware Workstation - VMware NAT Service
vmnetdhcp.exe,VMware Workstation - VMware VMnet DHCP service
vmware-authd.exe,VMware Workstation - VMware Authorization Service
vmware-tray.exe,VMware Workstation - VMware Tray Process
vmware-unity-helper.exe,VMware Workstation - VMware Unity Helper
vmware-usbarbitrator64.exe,VMware - VMware USB Arbitration Service
vmware-vmx.exe,VMware Workstation - VMware Workstation VMX
vmware.exe,VMware Workstation - VMware Workstation
vpnui.exe,Cisco - AnyConnect User Interface
wbxcOIEx.exe,Cisco WebEx - WebEx Mapi Component
wbxcOIEx64.exe,Cisco WebEx - WebEx Mapi Component
WebexMTA.exe,Cisco WebEx - Multithreaded COM Apartment
wininit.exe,Microsoft Windows - Windows Start-Up Application
winlogon.exe,Microsoft Windows - Windows Logon Application
WinStore.App.exe,Microsoft Windows - Windows Store
WINWORD.EXE,Microsoft Word
wlanext.exe,Microsoft Windows - Wireless LAN 802.11 Extensibility Framework
wmiapsrv.exe,Microsoft Windows - WMI Performance Reverse Adapter
WORD.EXE,Microsoft Word
wscript.exe,Microsoft Windows - Windows Scripting Host
wsl.exe,Microsoft Windows - Subsystem for Linux Launcher
wslhost.exe,Microsoft Windows - Subsystem for Linux Background Host
wuauclt.exe,Microsoft Windows - Windows Update
WUDFHost.exe,Microsoft Windows - WDF User-mode Driver Framework Host
